abbreviation,smiles,LFS_metric,Spectrochemical
,C1=CC=C(C2=NC(C3=CC=C(C4=CC=NC=C4)C=C3)=NN2)N=C1,1.0,
,N=O,0.4830000102519989,
,C1=CC=C(C2=NN=C(C3=CC=CC=N3)S2)N=C1,0.8330000042915344,
,CC1=CC=C2C=CC3=CC=C(C)N=C3C2=N1,1.0,
,CCN(CC)C1=NC(Cl)=NC(N(C2=CC=CC=N2)C2=CC=CC=N2)=N1,0.6669999957084656,
,OC1=CC=CC=C1C=NC1=CC=CC=C1N=CC1=CC=CC=C1O,0.5,
,NC(=O)C1=CC=CN=C1,0.9120000004768372,
,OC1=C2C=CC=CC2=C2C=CC=CC2=C1N=NC1=CC=CC=N1,0.4000000059604645,
,OC1=CC=CC=C1C=NC1CC1,0.0,
,CC(C)N=CC1=CC=CC=N1,0.0,
,C1=CC=C(CNCC2=CC=CC=N2)N=C1,0.6000000238418579,
,C1=CC=CC=C1C=NC1=CC=CC2=CC=CC=C12,0.2000000029802322,
,CC(C)(C)C1=CC(N=NC2=CC=CC=N2)=C(O)C(C(C)(C)C)=C1,0.1669999957084655,
,OC(=O)C1=C(C(=O)O)NC=N1,1.0,
,OC1=CC=CC=C1C=NCCCNCCCN=CC1=CC=CC=C1O,0.6669999957084656,
,CN(CCCN=CC1=CC=CC=C1O)CCCN=CC1=CC=CC=C1O,0.6000000238418579,
,CC(C)(C)C1=CC=C(C(C)(C)C)C(=O)C1O,0.2220000028610229,
,COC1=CC=NC=C1,0.8330000042915344,
,CCCN(CCC)C1=NC(N(CCC)CCC)=NC(N(C2=CC=CC=N2)C2=CC=CC=N2)=N1,0.6669999957084656,
,C1=CNC=N1,0.8730000257492065,
,OC1=C(O)C(Cl)=C(Cl)C(Cl)=C1Cl,0.6669999957084656,
,N#N,0.0,
,CC1=CC=C(N=C(C2=CC=CC=C2)C2=CC=CC=N2)C=C1,0.3330000042915344,
,OC(=O)C1=CC=CC=C1,1.0,
,OC1=CC=C(N(=O)=O)C=C1CN(CC1=CC=CC=N1)CC1=CC=CC=N1,0.6000000238418579,
,[O-]N=CC=NO,0.4230000078678131,
,C1CN=C(C2=NCCCS2)SC1,0.3330000042915344,
,CN1N=NC2=CC=CC=C21,1.0,
,CCCC(=O)N(C1=CC=CC=N1)C1=CC=CC=N1,0.6669999957084656,
,C(=NN1C(C2=CC=CC=N2)=NN=C1C1=CC=CC=N1)C1=CC=CC2=CC=CC=C12,0.800000011920929,
,OC(=NN=C(C1=CC=CC=C1)C1=CC=CC=N1)C1=CC=CC=C1,0.5,
,N#CC1=CC=CN=C1,1.0,
